Code,Name,Geography,Mid-2024,,,,,,,,Mid-2016,Mid-2015,Mid-2014,Mid-2013,Mid-2012,Mid-2011
E07000069,Castle Point,Non-metropolitan District,"90,581",,,,,,,,"89,390","88,854","88,654","88,377","88,119","87,964"
E07000070,Chelmsford,Non-metropolitan District,"188,803",,,,,,,,"175,137","173,397","172,128","170,481","169,301","168,491"
E07000071,Colchester,Non-metropolitan District,"200,222",,,,,,,,"185,361","183,242","180,414","177,308","175,840","173,614"
E07000072,Epping Forest,Non-metropolitan District,"137,451",,,,,,,,"131,587","130,848","130,040","128,068","126,599","124,880"
E07000073,Harlow,Non-metropolitan District,"98,235",,,,,,,,"88,913","87,797","86,531","84,743","83,478","82,177"
E07000074,Maldon,Non-metropolitan District,"69,131",,,,,,,,"63,319","62,796","62,807","62,184","61,942","61,720"
E07000075,Rochford,Non-metropolitan District,"89,815",,,,,,,,"84,568","84,291","84,111","83,372","83,582","83,333"
E07000076,Tendring,Non-metropolitan District,"156,759",,,,,,,,"143,023","141,531","140,275","138,862","138,278","138,062"
E07000077,Uttlesford,Non-metropolitan District,"95,106",,,,,,,,"85,565","84,622","83,732","82,364","81,148","80,032"
E10000015,Hertfordshire,County,"1,236,191",,,,,,,,"1,180,234","1,167,308","1,156,321","1,143,681","1,131,536","1,119,824"
E07000095,Broxbourne,Non-metropolitan District,"101,900",,,,,,,,"98,153","97,275","96,776","95,712","94,990","93,702"
E07000096,Dacorum,Non-metropolitan District,"161,420",,,,,,,,"152,462","150,906","149,380","148,057","146,826","145,298"
E07000242,East Hertfordshire,Non-metropolitan District,"156,875",,,,,,,,"144,801","143,293","141,915","140,519","139,256","138,155"
E07000098,Hertsmere,Non-metropolitan District,"110,212",,,,,,,,"105,372","104,414","103,541","102,201","101,389","100,379"
E07000099,North Hertfordshire,Non-metropolitan District,"137,201",,,,,,,,"133,103","131,662","131,062","129,460","128,542","127,494"
E07000240,St Albans,Non-metropolitan District,"151,012",,,,,,,,"147,823","146,894","145,938","144,222","142,616","141,248"
E07000243,Stevenage,Non-metropolitan District,"91,774",,,,,,,,"88,466","87,482","86,719","85,974","85,052","84,247"
E07000102,Three Rivers,Non-metropolitan District,"95,807",,,,,,,,"92,959","91,961","90,723","89,814","89,115","87,921"
E07000103,Watford,Non-metropolitan District,"107,171",,,,,,,,"100,458","99,449","98,101","95,732","93,066","90,653"
E07000241,Welwyn Hatfield,Non-metropolitan District,"122,819",,,,,,,,"116,637","113,972","112,166","111,990","110,684","110,727"
E10000020,Norfolk,County,"940,359",,,,,,,,"891,150","882,938","876,986","870,771","864,776","859,426"
E07000143,Breckland,Non-metropolitan District,"146,620",,,,,,,,"137,190","135,667","134,204","132,905","131,701","131,009"
E07000144,Broadland,Non-metropolitan District,"138,157",,,,,,,,"126,642","125,837","125,305","125,081","124,952","124,740"
E07000145,Great Yarmouth,Non-metropolitan District,"100,529",,,,,,,,"99,471","99,031","98,520","98,076","97,682","97,424"
E07000146,King's Lynn and West Norfolk,Non-metropolitan District,"156,206",,,,,,,,"152,867","151,863","150,742","149,722","148,938","147,936"
E07000147,North Norfolk,Non-metropolitan District,"103,217",,,,,,,,"102,176","101,973","102,012","101,410","101,445","101,664"
E07000148,Norwich,Non-metropolitan District,"147,182",,,,,,,,"141,332","138,625","137,631","136,514","134,378","132,158"
